r_setpoint_ohm,r_actual_ohm,v_out_V,i_measured_A,ocv_V,esr_ohm,v_predicted_V,voltage_error_mV,r_inferred_ohm,soc_pct,used_capacity_mAh,iteration,phase,t_s,cycle
320000,nan,4.2,1.010500272968784e-05,4.3103346824646,0.44669413566589355,4.3103301686191395,-110.33016861913936,415635.7115729097,99.99999957691877,2.222086859464998e-06,4,sleep,0.35899999999674037,0
320000,nan,4.2,1.010500272968784e-05,4.3103346824646,0.44669413566589355,4.3103301686191395,-110.33016861913936,415635.7115729097,99.99999957691877,2.222086859464998e-06,4,sleep,0.4220000000059372,0
320000,nan,4.2,1.010500272968784e-05,4.3103346824646,0.44669413566589355,4.3103301686191395,-110.33016861913936,415635.7115729097,99.99999957691877,2.222086859464998e-06,4,sleep,0.46899999999732245,0
320000,nan,4.2,1.010500272968784e-05,4.3103346824646,0.44669413566589355,4.3103301686191395,-110.33016861913936,415635.7115729097,99.99999957691877,2.222086859464998e-06,4,sleep,0.5160000000032596,0
320000,nan,4.2,1.010500272968784e-05,4.3103346824646,0.44669413566589355,4.3103301686191395,-110.33016861913936,415635.7115729097,99.99999957691877,2.222086859464998e-06,4,sleep,0.5620000000053551,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.625,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.6720000000059372,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.7189999999973224,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.7660000000032596,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.8120000000053551,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.875,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.9220000000059372,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,0.9689999999973224,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,1.0160000000032596,0
320000,nan,4.2,1.1350002750987187e-05,4.3103346824646,0.44669413566589355,4.310329612484931,-110.32961248493045,370043.9631730219,99.99999927677716,3.7984761304354407e-06,5,sleep,1.062000000005355,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.125,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.1720000000059372,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.2189999999973224,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.2660000000032596,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.312000000005355,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.375,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.4220000000059372,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.4689999999973224,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.5160000000032596,0
320000,nan,4.2,9.330001375928987e-06,4.3103346824646,0.44669413566589355,4.310330514807699,-110.33051480769896,450160.70531734586,99.99999902265114,5.133184660601551e-06,6,sleep,1.562000000005355,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.625,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.6720000000059372,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.7189999999973224,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.7660000000032596,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.812000000005355,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.875,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.9220000000059372,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,1.9689999999973224,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,2.0160000000032596,0
320000,nan,4.2,-3.060003564314684e-06,4.3103346824646,0.44669413566589355,4.310336049350247,-110.33604935024677,1372547.4208526385,99.99999910615985,4.694584149713676e-06,7,sleep,2.062000000005355,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.125,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.172000000005937,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.2189999999973224,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.2660000000032596,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.312000000005355,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.375,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.422000000005937,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.4689999999973224,0
320000,nan,4.2,5.174997113499558e-06,4.3103346824646,0.44669413566589355,4.310332370823737,-110.33237082373671,811594.6555880836,99.9999989649321,5.436333735965713e-06,8,sleep,2.5160000000032596,0
